Current Course,Technical Skills,Programming Languages,Programming Languages Ratings,Soft Skills,Soft Skills Ratings,Projects,Career Interest,Challenges,major
b.sc data science,"cybersecurity, java",javascript,4,"leadership, time management, problem-solving",1,no,data scientist,interview anxiety,b.sc data science
m.tech ai,"blockchain, python, sql","python, c#",3,"adaptability, teamwork, leadership",4,no,cybersecurity expert,limited guidance,m.tech ai
b.tech it,"blockchain, machine learning, python","java, go",4,"teamwork, adaptability, problem-solving",3,yes,cybersecurity expert,no networking opportunities,b.tech it
b.tech it,"cybersecurity, blockchain, java","python, go, java",1,"time management, communication, leadership",4,no,cloud architect,no networking opportunities,b.tech it
b.tech it,"cloud computing, sql","python, javascript",4,"teamwork, problem-solving",5,no,software developer,lack of experience,b.tech it
b.tech cse,"machine learning, cybersecurity, java, data analysis","python, java, c#",3,"leadership, adaptability",4,no,software developer,limited guidance,b.tech cse
m.tech ai,"cybersecurity, sql",go,2,"communication, time management",4,no,data scientist,no networking opportunities,m.tech ai
b.tech it,"sql, cloud computing",r,3,"time management, teamwork",5,no,data scientist,no networking opportunities,b.tech it
m.tech ai,"java, sql, cloud computing",c++,4,"problem-solving, adaptability, time management",2,no,cloud architect,interview anxiety,m.tech ai
m.tech ai,"sql, cloud computing","java, c#",1,"problem-solving, leadership, communication",5,no,cloud architect,no networking opportunities,m.tech ai
m.tech ai,"python, machine learning","javascript, c#",3,"problem-solving, time management, teamwork",1,no,cybersecurity expert,lack of experience,m.tech ai
b.sc data science,"data analysis, cybersecurity","python, c++",4,"leadership, teamwork",2,no,software developer,lack of experience,b.sc data science
b.tech cse,"cloud computing, cybersecurity",javascript,3,"communication, adaptability, teamwork",2,no,cloud architect,difficulty in resume building,b.tech cse
b.sc data science,"machine learning, cybersecurity, python, data analysis","java, c#",3,"leadership, teamwork",4,yes,business analyst,lack of experience,b.sc data science
b.tech cse,"cybersecurity, data analysis","go, c#",2,"problem-solving, leadership",5,yes,cloud architect,no networking opportunities,b.tech cse
m.tech ai,"java, data analysis, python",java,2,"teamwork, problem-solving, time management",3,no,ai engineer,interview anxiety,m.tech ai
b.tech cse,"java, blockchain, machine learning, cybersecurity","java, c++",4,"leadership, adaptability, communication",5,no,software developer,lack of experience,b.tech cse
b.tech it,"blockchain, java, sql, python","javascript, java, c++",3,"communication, time management",1,no,cloud architect,lack of experience,b.tech it
b.tech cse,"data analysis, java, cybersecurity","c++, go",5,"adaptability, leadership, problem-solving",5,yes,data scientist,lack of experience,b.tech cse
b.sc data science,"java, cybersecurity, blockchain",c++,4,"problem-solving, leadership",4,yes,cloud architect,difficulty in resume building,b.sc data science
b.sc data science,"python, cloud computing","go, java, c++",4,"adaptability, leadership",5,yes,data scientist,no networking opportunities,b.sc data science
b.tech cse,"data analysis, python, java, cybersecurity","r, javascript",4,"teamwork, adaptability, time management",2,yes,data scientist,no networking opportunities,b.tech cse
b.tech it,"machine learning, blockchain","c#, javascript, go",3,"communication, time management, problem-solving",3,yes,software developer,no networking opportunities,b.tech it
b.tech cse,"java, machine learning, blockchain","c#, javascript, go",2,"adaptability, leadership",3,no,cybersecurity expert,lack of experience,b.tech cse
b.tech it,"java, machine learning, sql, cybersecurity","java, r",4,"time management, teamwork",2,no,software developer,limited guidance,b.tech it
b.tech it,"python, sql",java,4,"leadership, time management, problem-solving",1,no,business analyst,no networking opportunities,b.tech it
b.sc data science,"machine learning, java","go, c#",4,"teamwork, problem-solving, communication",5,yes,business analyst,lack of experience,b.sc data science
b.tech it,"java, sql, python",javascript,1,"problem-solving, leadership, communication",2,yes,cloud architect,no networking opportunities,b.tech it
b.tech cse,"machine learning, cybersecurity","javascript, c#, c++",1,"communication, problem-solving",5,no,cloud architect,difficulty in resume building,b.tech cse
b.tech it,"cloud computing, data analysis","c++, python",4,"adaptability, communication",4,no,data scientist,difficulty in resume building,b.tech it
b.tech cse,"blockchain, sql, cybersecurity, cloud computing","java, python",3,"time management, communication, teamwork",3,no,software developer,no networking opportunities,b.tech cse
m.tech ai,"cybersecurity, sql, blockchain","javascript, python",3,"problem-solving, leadership, time management",5,yes,cybersecurity expert,interview anxiety,m.tech ai
m.tech ai,"python, cybersecurity, blockchain, machine learning",r,5,"time management, adaptability, problem-solving",4,yes,data scientist,lack of experience,m.tech ai
b.tech it,"machine learning, blockchain, data analysis, cloud computing",go,1,"time management, teamwork",5,yes,cybersecurity expert,difficulty in resume building,b.tech it
b.tech cse,"cloud computing, sql, cybersecurity",r,1,"leadership, communication",1,no,cloud architect,lack of experience,b.tech cse
b.tech it,"java, blockchain, data analysis, sql","python, c++",3,"leadership, communication",2,no,cloud architect,lack of experience,b.tech it
b.tech cse,"sql, blockchain, machine learning","c++, python",1,"time management, problem-solving",2,yes,business analyst,interview anxiety,b.tech cse
b.tech it,"sql, java, blockchain, data analysis",javascript,5,"problem-solving, adaptability",4,yes,data scientist,lack of experience,b.tech it
b.tech it,"machine learning, data analysis","c#, r, javascript",3,"problem-solving, leadership",1,no,ai engineer,lack of experience,b.tech it
b.tech cse,"sql, java","python, c#, javascript",4,"teamwork, time management, problem-solving",5,no,data scientist,no networking opportunities,b.tech cse
b.tech it,"data analysis, cybersecurity","java, c++, python",1,"communication, teamwork",1,no,cloud architect,lack of experience,b.tech it
m.tech ai,"sql, machine learning","r, c++, java",1,"time management, leadership, problem-solving",1,yes,software developer,limited guidance,m.tech ai
b.tech cse,"python, machine learning","go, python",2,"problem-solving, time management, communication",3,yes,cloud architect,lack of experience,b.tech cse
b.sc data science,"java, sql, python",r,3,"communication, teamwork, problem-solving",4,yes,business analyst,no networking opportunities,b.sc data science
m.tech ai,"machine learning, java, blockchain, cloud computing","go, java",1,"problem-solving, teamwork, time management",4,yes,business analyst,no networking opportunities,m.tech ai
m.tech ai,"cybersecurity, blockchain, java, machine learning",java,1,"adaptability, teamwork",5,no,cloud architect,limited guidance,m.tech ai
b.sc data science,"sql, java, data analysis, cybersecurity",python,4,"time management, teamwork, communication",5,no,data scientist,interview anxiety,b.sc data science
b.tech it,"blockchain, data analysis, java","c++, r, javascript",5,"leadership, time management, problem-solving",2,yes,ai engineer,difficulty in resume building,b.tech it
m.tech ai,"data analysis, cybersecurity",c++,1,"time management, problem-solving",4,yes,data scientist,no networking opportunities,m.tech ai
m.tech ai,"blockchain, java","r, go",2,"adaptability, communication",1,yes,data scientist,limited guidance,m.tech ai
b.tech cse,"data analysis, machine learning, cloud computing","go, c++, javascript",2,"communication, adaptability, teamwork",5,yes,software developer,difficulty in resume building,b.tech cse
b.sc data science,"cloud computing, machine learning, python","java, python, javascript",1,"time management, communication, adaptability",2,yes,business analyst,interview anxiety,b.sc data science
b.tech it,"cloud computing, python, data analysis",c++,2,"time management, communication",3,yes,ai engineer,lack of experience,b.tech it
b.sc data science,"cloud computing, cybersecurity",r,3,"adaptability, time management",3,yes,business analyst,lack of experience,b.sc data science
m.tech ai,"data analysis, machine learning, cybersecurity, blockchain","python, go",2,"problem-solving, communication, leadership",3,no,software developer,limited guidance,m.tech ai
b.sc data science,"cybersecurity, sql, machine learning","r, java",1,"leadership, communication",1,yes,cybersecurity expert,lack of experience,b.sc data science
b.tech cse,"sql, machine learning, data analysis","python, c++",1,"leadership, communication",3,yes,cloud architect,limited guidance,b.tech cse
m.tech ai,"cloud computing, python, sql",javascript,5,"time management, leadership",5,no,cybersecurity expert,no networking opportunities,m.tech ai
b.tech cse,"java, blockchain, machine learning",c#,2,"teamwork, adaptability",3,no,software developer,limited guidance,b.tech cse
b.tech it,"sql, data analysis, java, python","go, javascript, c++",5,"communication, problem-solving",2,yes,cloud architect,interview anxiety,b.tech it
b.tech it,"cloud computing, data analysis, cybersecurity, machine learning","r, go, javascript",4,"time management, problem-solving, leadership",4,yes,cloud architect,limited guidance,b.tech it
b.tech cse,"sql, machine learning, cybersecurity, python",python,2,"communication, problem-solving",1,yes,cybersecurity expert,limited guidance,b.tech cse
b.tech it,"machine learning, cloud computing","java, c++, javascript",1,"teamwork, adaptability",2,no,cybersecurity expert,interview anxiety,b.tech it
b.sc data science,"java, python, cloud computing","javascript, java, c#",1,"leadership, communication, problem-solving",3,no,ai engineer,interview anxiety,b.sc data science
m.tech ai,"machine learning, java","go, c#, javascript",4,"problem-solving, leadership, time management",4,yes,cloud architect,no networking opportunities,m.tech ai
b.tech it,"cloud computing, java",c++,4,"adaptability, problem-solving",2,yes,cybersecurity expert,interview anxiety,b.tech it
b.tech it,"cybersecurity, python","go, c++",2,"time management, problem-solving, communication",1,no,software developer,limited guidance,b.tech it
m.tech ai,"cybersecurity, java, python, sql","javascript, c++",2,"leadership, adaptability",5,yes,cybersecurity expert,difficulty in resume building,m.tech ai
b.tech cse,"blockchain, cybersecurity, data analysis, cloud computing","c++, javascript",5,"leadership, problem-solving",3,yes,cloud architect,difficulty in resume building,b.tech cse
b.tech cse,"blockchain, cloud computing, machine learning, data analysis","python, javascript",5,"teamwork, adaptability",1,no,software developer,no networking opportunities,b.tech cse
b.tech it,"blockchain, machine learning, python",c#,5,"leadership, problem-solving, adaptability",2,yes,cloud architect,no networking opportunities,b.tech it
b.tech cse,"cloud computing, cybersecurity, data analysis","c++, java, c#",4,"time management, communication, teamwork",4,no,cloud architect,interview anxiety,b.tech cse
m.tech ai,"blockchain, cloud computing, python, sql",python,4,"teamwork, problem-solving",5,no,cloud architect,interview anxiety,m.tech ai
m.tech ai,"machine learning, cybersecurity, sql","java, javascript",5,"time management, problem-solving, teamwork",3,no,ai engineer,limited guidance,m.tech ai
m.tech ai,"data analysis, python","go, r",2,"communication, problem-solving, leadership",2,no,cybersecurity expert,limited guidance,m.tech ai
m.tech ai,"blockchain, data analysis, python, cloud computing","r, python",1,"adaptability, communication, leadership",2,no,business analyst,difficulty in resume building,m.tech ai
m.tech ai,"sql, machine learning, blockchain, java","javascript, c#, r",4,"leadership, problem-solving, communication",5,yes,cybersecurity expert,difficulty in resume building,m.tech ai
b.sc data science,"python, java, cybersecurity","javascript, java",5,"communication, leadership, time management",5,yes,cloud architect,limited guidance,b.sc data science
b.tech it,"blockchain, python, java","javascript, java",2,"adaptability, teamwork",3,yes,ai engineer,limited guidance,b.tech it
b.tech it,"cloud computing, cybersecurity, sql, machine learning","go, c#, python",3,"adaptability, teamwork, communication",3,yes,cloud architect,difficulty in resume building,b.tech it
b.sc data science,"blockchain, sql, cybersecurity","go, r",5,"communication, teamwork, adaptability",4,no,cloud architect,difficulty in resume building,b.sc data science
b.sc data science,"data analysis, python",python,3,"communication, problem-solving",1,yes,data scientist,interview anxiety,b.sc data science
b.sc data science,"cybersecurity, data analysis, blockchain",javascript,5,"leadership, adaptability, communication",2,no,ai engineer,no networking opportunities,b.sc data science
b.tech cse,"java, cloud computing, blockchain","c++, javascript",3,"communication, leadership, adaptability",4,no,business analyst,limited guidance,b.tech cse
b.tech cse,"cloud computing, cybersecurity, java",c++,2,"problem-solving, teamwork",1,yes,software developer,difficulty in resume building,b.tech cse
b.tech cse,"data analysis, blockchain, cybersecurity","javascript, c#",3,"adaptability, teamwork, time management",1,no,cybersecurity expert,limited guidance,b.tech cse
b.tech it,"blockchain, machine learning, java","javascript, java, go",1,"leadership, adaptability, problem-solving",2,yes,ai engineer,limited guidance,b.tech it
m.tech ai,"cloud computing, blockchain, sql, machine learning","javascript, c++",2,"teamwork, adaptability",1,no,ai engineer,no networking opportunities,m.tech ai
b.sc data science,"cloud computing, java, machine learning, blockchain",c#,5,"problem-solving, time management",2,no,business analyst,difficulty in resume building,b.sc data science
b.tech it,"python, sql, blockchain","java, c#",2,"adaptability, communication",5,no,software developer,no networking opportunities,b.tech it
m.tech ai,"cybersecurity, blockchain","c#, java",4,"time management, leadership",4,no,data scientist,no networking opportunities,m.tech ai
b.tech cse,"sql, cybersecurity, python",java,4,"time management, teamwork",3,yes,cloud architect,no networking opportunities,b.tech cse
m.tech ai,"cybersecurity, sql, machine learning, cloud computing","c++, javascript",3,"problem-solving, leadership, communication",4,no,cybersecurity expert,limited guidance,m.tech ai
b.sc data science,"data analysis, java","go, java, c++",3,"teamwork, problem-solving, communication",3,yes,business analyst,interview anxiety,b.sc data science
b.tech it,"python, blockchain","r, go",5,"adaptability, problem-solving",3,yes,cloud architect,difficulty in resume building,b.tech it
b.tech cse,"blockchain, data analysis","java, c#, c++",5,"teamwork, communication",3,yes,business analyst,lack of experience,b.tech cse
b.sc data science,"cybersecurity, data analysis, sql","c#, go, python",2,"leadership, time management",2,yes,data scientist,interview anxiety,b.sc data science
m.tech ai,"python, java, cybersecurity","python, go, r",3,"problem-solving, teamwork, communication",5,yes,ai engineer,limited guidance,m.tech ai
b.tech cse,"cybersecurity, sql, data analysis","go, python, java",3,"communication, adaptability, time management",5,yes,ai engineer,interview anxiety,b.tech cse
m.tech ai,"java, sql, data analysis",r,5,"leadership, communication",1,no,cloud architect,interview anxiety,m.tech ai
b.tech it,"cybersecurity, machine learning, blockchain","c++, go",3,"teamwork, leadership, time management",1,no,software developer,no networking opportunities,b.tech it
m.tech ai,"java, data analysis, machine learning, python","c++, r, go",2,"problem-solving, teamwork",4,yes,data scientist,lack of experience,m.tech ai
b.tech it,"sql, java","c#, c++, go",4,"problem-solving, teamwork",2,yes,cloud architect,no networking opportunities,b.tech it
m.tech ai,"blockchain, machine learning, java, cloud computing","javascript, java, go",1,"communication, time management",2,no,cloud architect,lack of experience,m.tech ai
b.tech cse,"sql, java",java,5,"teamwork, time management",2,no,cloud architect,limited guidance,b.tech cse
b.tech it,"cloud computing, java, cybersecurity, python","go, r",2,"adaptability, time management, leadership",3,yes,data scientist,lack of experience,b.tech it
m.tech ai,"cybersecurity, sql, cloud computing","javascript, java",2,"communication, leadership",5,no,ai engineer,difficulty in resume building,m.tech ai
b.tech cse,"cloud computing, blockchain",go,2,"leadership, time management, communication",1,no,software developer,interview anxiety,b.tech cse
b.tech it,"cybersecurity, blockchain, python","c++, c#",2,"communication, teamwork, time management",2,no,business analyst,lack of experience,b.tech it
b.tech cse,"java, data analysis, python","python, java",4,"teamwork, time management",1,no,software developer,limited guidance,b.tech cse
m.tech ai,"blockchain, data analysis, machine learning","java, c#, r",5,"adaptability, leadership, communication",4,no,cybersecurity expert,no networking opportunities,m.tech ai
b.tech cse,"data analysis, machine learning, blockchain, java","python, c#, c++",5,"time management, problem-solving",3,yes,business analyst,lack of experience,b.tech cse
b.tech cse,"cloud computing, machine learning","c#, python",2,"communication, leadership, teamwork",5,no,software developer,lack of experience,b.tech cse
b.tech cse,"cybersecurity, python, sql","java, r",3,"leadership, problem-solving, time management",1,no,software developer,interview anxiety,b.tech cse
m.tech ai,"blockchain, python","r, go, python",4,"teamwork, adaptability, problem-solving",5,yes,software developer,lack of experience,m.tech ai
b.tech it,"cybersecurity, sql, java","r, c++",4,"adaptability, time management, teamwork",5,no,software developer,no networking opportunities,b.tech it
b.sc data science,"sql, data analysis, java, blockchain","c++, javascript, java",4,"teamwork, time management, leadership",3,yes,software developer,lack of experience,b.sc data science
b.tech it,"python, cybersecurity, machine learning, sql","r, javascript",5,"communication, time management, adaptability",1,yes,business analyst,no networking opportunities,b.tech it
b.sc data science,"data analysis, blockchain, machine learning",python,1,"problem-solving, time management, adaptability",2,no,data scientist,no networking opportunities,b.sc data science
b.sc data science,"blockchain, sql, data analysis, python",java,2,"time management, leadership, adaptability",1,yes,ai engineer,lack of experience,b.sc data science
m.tech ai,"java, python, blockchain","java, c#",4,"adaptability, leadership",5,yes,cloud architect,interview anxiety,m.tech ai
m.tech ai,"data analysis, sql","go, java",3,"time management, problem-solving",1,yes,ai engineer,limited guidance,m.tech ai
b.sc data science,"python, java, cloud computing, cybersecurity","python, c++, javascript",2,"communication, teamwork, problem-solving",4,yes,business analyst,difficulty in resume building,b.sc data science
b.sc data science,"machine learning, python, data analysis","python, c#",3,"adaptability, time management",5,no,business analyst,no networking opportunities,b.sc data science
b.tech it,"python, java, cloud computing, sql","java, javascript",3,"communication, time management",3,yes,ai engineer,lack of experience,b.tech it
b.sc data science,"python, data analysis, cybersecurity","python, go, javascript",4,"leadership, adaptability",4,yes,cybersecurity expert,limited guidance,b.sc data science
b.sc data science,"data analysis, python, blockchain, cloud computing",c#,3,"time management, leadership",1,no,software developer,lack of experience,b.sc data science
b.tech it,"cybersecurity, blockchain, java","c++, go",3,"adaptability, time management, teamwork",5,no,software developer,interview anxiety,b.tech it
b.tech it,"java, cybersecurity, cloud computing, machine learning",javascript,3,"teamwork, problem-solving",3,no,ai engineer,lack of experience,b.tech it
b.sc data science,"sql, python, machine learning","r, python, c++",4,"leadership, teamwork, communication",5,no,data scientist,difficulty in resume building,b.sc data science
b.sc data science,"python, cloud computing","c#, javascript",2,"leadership, problem-solving",4,no,cybersecurity expert,lack of experience,b.sc data science
b.tech cse,"java, machine learning, blockchain",java,5,"leadership, teamwork, problem-solving",3,no,ai engineer,lack of experience,b.tech cse
m.tech ai,"data analysis, cybersecurity","r, c#",5,"problem-solving, leadership, time management",3,no,cybersecurity expert,difficulty in resume building,m.tech ai
m.tech ai,"blockchain, data analysis, cybersecurity","python, javascript, java",2,"time management, communication, adaptability",3,no,data scientist,no networking opportunities,m.tech ai
b.tech it,"python, blockchain, java","c#, c++, javascript",2,"leadership, problem-solving, teamwork",4,no,ai engineer,difficulty in resume building,b.tech it
m.tech ai,"data analysis, java","c#, c++",1,"teamwork, problem-solving",1,yes,cloud architect,lack of experience,m.tech ai
b.tech it,"machine learning, python, cybersecurity, sql","r, python",5,"teamwork, adaptability",5,no,cloud architect,interview anxiety,b.tech it
b.sc data science,"blockchain, sql, cloud computing",r,3,"problem-solving, time management, adaptability",1,yes,business analyst,no networking opportunities,b.sc data science
b.sc data science,"data analysis, machine learning, cloud computing, python",c++,2,"time management, communication",2,no,business analyst,no networking opportunities,b.sc data science
b.tech cse,"java, cybersecurity","c#, python",2,"teamwork, communication, leadership",4,no,software developer,no networking opportunities,b.tech cse
b.sc data science,"cybersecurity, data analysis, python","javascript, go",1,"adaptability, problem-solving, communication",5,no,software developer,interview anxiety,b.sc data science
b.sc data science,"sql, cybersecurity, machine learning, python","java, c++, javascript",5,"problem-solving, communication, teamwork",4,no,data scientist,interview anxiety,b.sc data science
m.tech ai,"cloud computing, blockchain",java,1,"communication, leadership, adaptability",5,no,cybersecurity expert,difficulty in resume building,m.tech ai
b.tech it,"machine learning, sql, python",java,3,"time management, problem-solving",5,yes,ai engineer,lack of experience,b.tech it
b.tech it,"sql, python","python, r, c#",4,"adaptability, communication",4,yes,cloud architect,no networking opportunities,b.tech it
b.sc data science,"python, sql, cybersecurity",python,1,"communication, leadership",4,no,business analyst,difficulty in resume building,b.sc data science
m.tech ai,"blockchain, data analysis, cloud computing, python","c#, javascript",1,"time management, leadership, teamwork",2,yes,business analyst,limited guidance,m.tech ai
b.tech it,"cloud computing, machine learning",c#,5,"leadership, adaptability",2,no,data scientist,difficulty in resume building,b.tech it
m.tech ai,"blockchain, data analysis","javascript, r, go",4,"adaptability, teamwork",4,no,business analyst,interview anxiety,m.tech ai
m.tech ai,"python, blockchain","go, c#",3,"communication, teamwork, problem-solving",5,no,data scientist,lack of experience,m.tech ai
b.tech cse,"sql, java","go, r",3,"teamwork, problem-solving, communication",1,no,cybersecurity expert,difficulty in resume building,b.tech cse
b.tech cse,"blockchain, python, java, sql","go, c++",2,"adaptability, problem-solving",5,yes,cybersecurity expert,difficulty in resume building,b.tech cse
b.sc data science,"blockchain, java, sql","c++, java",5,"problem-solving, leadership",3,yes,business analyst,limited guidance,b.sc data science
b.tech it,"blockchain, data analysis, machine learning","javascript, java",4,"adaptability, leadership",1,yes,business analyst,limited guidance,b.tech it
b.tech it,"blockchain, cloud computing","python, javascript, java",3,"time management, teamwork",3,no,data scientist,difficulty in resume building,b.tech it
b.sc data science,"python, sql, java, cybersecurity",c#,5,"time management, problem-solving",3,yes,cybersecurity expert,interview anxiety,b.sc data science
b.sc data science,"blockchain, python, cloud computing",python,2,"teamwork, problem-solving",4,yes,ai engineer,lack of experience,b.sc data science
m.tech ai,"data analysis, cybersecurity","java, r",1,"communication, time management, teamwork",3,yes,cloud architect,difficulty in resume building,m.tech ai
b.tech cse,"machine learning, data analysis, cybersecurity","c#, python",5,"problem-solving, communication",4,yes,cybersecurity expert,no networking opportunities,b.tech cse
b.tech cse,"machine learning, sql, java",c++,4,"problem-solving, teamwork",1,yes,cybersecurity expert,interview anxiety,b.tech cse
b.tech cse,"blockchain, cloud computing, python, machine learning","java, python",5,"problem-solving, teamwork, adaptability",4,no,ai engineer,no networking opportunities,b.tech cse
